"","id_grid","X","id_discom","id_subdiv","x","y","area_intersection","id_intersect","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom","area_grid","weight_in_grid"
"99","PARK STREET",117,"NDMC","Vasant Vihar",-1057774.53108423,3266427.66996442,2755497.00093347,18,97787044.6336408,48353308.4082827,0.0281785487152919,0.0569867314489998,49050105.9724137,0.0561771875168463
"100","PARK STREET",72,"BYPL","Karol Bagh",-1056178.47383326,3273163.21643984,2467656.85196946,105,4662103.07720218,186262579.403726,0.529301221166983,0.0132482695121536,49050105.9724137,0.0503088995028328
"101","PARK STREET",108,"NDMC","Paharganj",-1053333.88262136,3272363.15970796,156552.862407091,4,4014426.86723909,48353308.4082827,0.0389975624377881,0.00323768667668403,49050105.9724137,0.00319169264374552
"102","PARK STREET",151,"NDPL","Patel Nagar",-1059036.25331128,3274405.92969975,3004831.42616768,144,55165059.5244254,529592854.173835,0.0544698302163026,0.00567385190809498,49050105.9724137,0.0612604471814521
"103","PARK STREET",118,"NDMC","Delhi Cantonment",-1057846.99240993,3269529.790532,4563281.97297353,15,74652275.951351,48353308.4082827,0.0611271647758911,0.094373727945198,49050105.9724137,0.0930330706225174
"104","PARK STREET",112,"NDMC","Parliament Street",-1054555.74206158,3271262.20837802,7596092.45103286,10,7640711.49838114,48353308.4082827,0.994160354391376,0.157095609402638,49050105.9724137,0.154863935570394
"105","PARK STREET",106,"NDMC","Chanakyapuri",-1055913.47483304,3268694.56862716,12676727.9368007,12,18948260.9743814,48353308.4082827,0.669018014578753,0.262168781291277,49050105.9724137,0.258444455633393
"106","PARK STREET",66,"BYPL","Delhi Cantonment",-1058292.20157503,3271198.13646061,3645629.47117649,122,74652275.951351,186262579.403726,0.0488348067720301,0.0195725275728871,49050105.9724137,0.0743245992827585
"107","PARK STREET",110,"NDMC","Connaught Place",-1052674.07631021,3270644.96500956,3224057.92731689,8,6119752.00934554,48353308.4082827,0.526828198657952,0.066677090636566,49050105.9724137,0.0657298870899511
"108","PARK STREET",124,"NDMC","Karol Bagh",-1055966.6451569,3272322.01700513,820733.88415859,6,4662103.07720218,48353308.4082827,0.176043701858932,0.0169736862104352,49050105.9724137,0.0167325608760189
"109","PARK STREET",123,"NDMC","Daryaganj",-1051751.63293064,3270626.47226934,53218.1302394827,2,6992759.26330147,48353308.4082827,0.00761046222751805,0.00110060990636096,49050105.9724137,0.00108497482695375
"110","PATPARGANJ",96,"BYPL","Vivek Vihar",-1044288.38747666,3271950.5276115,807728.197865842,93,25057350.4009447,186262579.403726,0.0322351798949736,0.00433650280400704,29965909.7105686,0.0269549032773387
"111","PATPARGANJ",79,"BYPL","Gandhi Nagar",-1048402.09464594,3269850.99959032,2200075.53110673,108,6171605.41213555,186262579.403726,0.356483505374567,0.0118116883066354,29965909.7105686,0.0734192805209845
